,street_segment,graffiti_types,observer_id
870,140803,Tag,14
871,140803,Tag,14
872,140803,Tag,14
873,359267,Tag,14
874,358687,Tag,14
875,358687,Tag,14
876,358687,Tag,14
877,358687,Tag,14
878,141097,SITS,14
879,141097,Tag,14
880,141097,Tag,14
881,141097,Tag,14
882,141680,Tag,16
883,141680,Tag,16
884,141680,Tag,16
885,141680,Tag,16
886,141680,Tag,16
887,141680,Tag,16
888,141680,Tag,16
889,141680,Tag,16
890,141680,SITS,16
891,141680,SITS,16
892,141680,Others,16
893,141680,Others,16
894,141680,Others,16
895,141680,Tag,16
896,141680,Tag,16
897,141680,Others,16
898,141680,Tag,16
899,141680,Others,16
900,611275,Tag,16
901,611275,Tag,16
902,611275,Tag,16
903,611275,Tag,16
904,611275,SITS,16
905,611275,Tag,16
906,611275,Tag,16
907,611275,Tag,16
908,611275,SITS,16
909,611275,Tag,16
910,611275,Tag,16
911,611275,SITS,16
912,611275,Tag,16
913,611275,Tag,16
914,611275,SITS,16
915,611275,Tag,16
916,611275,SITS,16
917,611275,Tag,16
918,611275,Others,16
919,610913,Tag,16
920,610913,Tag,16
921,610913,SITS,16
922,610913,Tag,16
923,610913,Tag,16
924,610913,Tag,16
925,610913,Others,16
926,610913,Tag,16
927,610913,Tag,16
928,141693,Tag,16
929,141693,Tag,16
930,141693,Tag,16
931,141693,SITS,16
932,141693,Tag,16
933,141693,Tag,16
934,141693,Tag,16
935,141684,Others,16
936,141684,Others,16
937,141684,Others,16
938,141684,SITS,16
939,141684,Tag,16
940,141684,Others,16
941,559420,Tag,16
942,559420,SITS,16
943,559420,SITS,16
944,611137,Tag,16
945,141703,Others,16
946,141700,Tag,16
947,141700,Tag,16
948,141700,Tag,16
949,141700,Tag,16
950,141691,Tag,16
951,141691,Others,16
952,141691,Tag,16
953,141691,SITS,16
954,141692,Tag,16
955,610966,Tag,16
956,610966,Tag,16
957,610966,Tag,16
958,610966,Tag,16
959,141680,Tag,16
960,611275,Tag,16
961,611275,SITS,16
962,610913,Tag,16
963,610913,Others,16
964,610913,Tag,16
965,610913,Others,16
966,141701,Tag,16
967,141701,Tag,16
968,141701,Tag,16
969,141701,Tag,16
970,141701,SITS,16
971,141684,Tag,16
972,141684,Others,16
973,141684,Others,16
974,141684,Others,16
975,559420,SITS,16
976,141700,Tag,16
977,141700,Tag,16
978,141691,Tag,16
979,141691,Others,16
980,141691,Tag,16
981,141692,Others,16
982,610966,Others,16
983,610966,Others,16
984,610966,Others,16
985,141701,SITS,16
986,141701,Tag,16
987,141701,Tag,16
988,141691,Others,16
989,141692,Tag,16
990,611275,Tag,16
991,141684,Others,16
992,141703,Others,16
993,141700,Others,16
994,141700,Others,16
995,141700,Others,16
996,141692,Others,16
997,141692,Others,16
998,141692,Others,16
999,141692,Others,16
1000,141692,Others,16
1001,141699,Others,16
1002,141369,Tag,18
1003,141369,Tag,18
1004,141369,Masterpiece,18
1005,141369,Tag,18
1006,141369,Tag,18
1007,141369,Tag,18
1008,141369,Others,18
1009,141369,Tag,18
1010,141369,Tag,18
1011,141369,Others,18
1012,141369,Masterpiece,18
1013,141254,SITS,18
1014,141254,Masterpiece,18
1015,141254,Tag,18
1016,141254,Masterpiece,18
1017,141254,Tag,18
1018,141254,Tag,18
1019,141254,Others,18
1020,141431,Masterpiece,18
1021,141431,Masterpiece,18
1022,141431,SITS,18
1023,141431,Tag,18
1024,141431,Others,18
1025,141209,Masterpiece,18
1026,141209,Tag,18
1027,141209,Masterpiece,18
1028,141209,Others,18
1029,141209,Tag,18
1030,141209,Tag,18
1031,611090,Others,18
1032,610935,Masterpiece,18
1033,611066,Masterpiece,18
1034,611066,Tag,18
1035,141494,Masterpiece,18
1036,141389,Others,18
1037,141389,Tag,18
1038,21698,Tag,18
1039,21698,SITS,18
1040,21698,Tag,18
1041,21698,Masterpiece,18
1042,141196,Tag,18
1043,141196,Tag,18
1044,141457,Tag,18
1045,141457,SITS,18
1046,141369,Masterpiece,18
1047,141369,Masterpiece,18
1048,141369,Others,18
1049,141254,Masterpiece,18
1050,141254,Masterpiece,18
1051,141431,Masterpiece,18
1052,141431,Tag,18
1053,141431,Tag,18
1054,141431,Others,18
1055,141431,Others,18
1056,141431,Masterpiece,18
1057,141370,SITS,18
1058,141370,Masterpiece,18
1059,141370,Tag,18
1060,141370,SITS,18
1061,141370,SITS,18
1062,141370,Tag,18
1063,611090,Masterpiece,18
1064,611066,Others,18
1065,141494,SITS,18
1066,141389,Others,18
1067,21698,Tag,18
1068,141196,Tag,18
1069,141457,Others,18
1070,141457,Tag,18
1071,141304,Others,18
1072,141431,Tag,18
1073,141431,Masterpiece,18
1074,141431,Others,18
1075,141431,Masterpiece,18
1076,141431,SITS,18
1077,141431,Others,18
1078,141370,SITS,18
1079,141370,Tag,18
1080,611090,SITS,18
1081,611090,Tag,18
1082,141389,Masterpiece,18
1083,141251,SITS,18
1084,141251,SITS,18
1085,141457,SITS,18
1086,141254,Others,18
1087,141431,SITS,18
1088,141370,SITS,18
1089,610935,Masterpiece,18
1090,141389,Tag,18
1091,21698,SITS,18
1092,140970,Tag,20
1093,140851,SITS,20
1094,140851,Others,20
1095,140851,Tag,20
1096,140851,Tag,20
1097,140851,SITS,20
1098,140851,Tag,20
1099,140851,Others,20
1100,140960,Tag,20
1101,140980,Others,20
1102,140980,Others,20
1103,140980,SITS,20
1104,140980,SITS,20
1105,140980,Others,20
1106,140980,Tag,20
1107,140980,Others,20
1108,140980,Others,20
1109,140980,Others,20
1110,140980,Others,20
1111,140980,Others,20
1112,140980,Tag,20
1113,140980,Others,20
1114,140980,SITS,20
1115,140980,Others,20
1116,140980,Tag,20
1117,140980,SITS,20
1118,140980,Tag,20
1119,140980,Others,20
1120,140980,Tag,20
1121,140864,Tag,20
1122,140864,SITS,20
1123,141024,Tag,20
1124,141024,Others,20
1125,141024,Tag,20
1126,141024,Tag,20
1127,141024,Tag,20
1128,141024,Tag,20
1129,141024,Others,20
1130,141024,Tag,20
1131,141024,SITS,20
1132,141024,SITS,20
1133,141024,Tag,20
1134,141024,SITS,20
1135,141024,Tag,20
1136,141024,Tag,20
1137,141024,Tag,20
1138,141024,SITS,20
1139,141024,Tag,20
1140,141024,SITS,20
1141,141024,Tag,20
1142,141024,Others,20
1143,141024,Tag,20
1144,141024,Tag,20
1145,141024,Others,20
1146,141024,Others,20
1147,141024,Tag,20
1148,141024,SITS,20
1149,141024,Others,20
1150,141024,Tag,20
1151,141024,Tag,20
1152,141024,Tag,20
1153,141024,Others,20
1154,141024,Others,20
1155,141024,Others,20
1156,141000,Others,20
1157,141000,Others,20
1158,141000,Others,20
1159,141000,Tag,20
1160,141000,Tag,20
1161,141000,SITS,20
1162,141000,Tag,20
1163,141000,Others,20
1164,141000,SITS,20
1165,141000,SITS,20
1166,141000,Others,20
1167,141000,Tag,20
1168,141000,Tag,20
1169,141000,SITS,20
1170,141000,Tag,20
1171,141000,SITS,20
1172,141000,Tag,20
1173,141000,SITS,20
1174,141000,Tag,20
1175,141000,Others,20
1176,141000,Tag,20
1177,141000,Others,20
1178,141000,Others,20
1179,141000,Others,20
1180,141000,Others,20
1181,141000,Tag,20
1182,141000,SITS,20
1183,141000,Tag,20
1184,141000,Tag,20
1185,141000,Tag,20
1186,141000,Others,20
1187,140927,Tag,20
1188,140927,Tag,20
1189,140927,Tag,20
1190,140927,Tag,20
1191,140927,Tag,20
1192,140927,Tag,20
1193,140959,SITS,20
1194,140959,SITS,20
1195,140959,Tag,20
1196,140959,Tag,20
1197,140959,Tag,20
1198,140959,Tag,20
1199,140959,Tag,20
1200,140959,Tag,20
1201,140959,Tag,20
1202,140959,Tag,20
1203,140959,Tag,20
1204,140959,Tag,20
1205,140959,Tag,20
1206,140959,Tag,20
1207,140959,Tag,20
1208,140959,Tag,20
1209,140959,Others,20
1210,140959,SITS,20
1211,140959,Others,20
1212,140959,Others,20
1213,140959,Others,20
1214,140959,Tag,20
1215,140959,Tag,20
1216,140959,Tag,20
1217,140959,Tag,20
1218,140959,SITS,20
1219,140959,SITS,20
1220,140959,Others,20
1221,140959,Tag,20
1222,140959,Tag,20
1223,140959,Tag,20
1224,140959,Tag,20
1225,140959,Tag,20
1226,140959,Tag,20
1227,140959,Others,20
1228,140959,Tag,20
1229,140959,Tag,20
1230,140959,Tag,20
1231,140959,Tag,20
1232,140959,Tag,20
1233,140959,Tag,20
1234,140959,Tag,20
1235,140959,Tag,20
1236,140959,Others,20
1237,140959,SITS,20
1238,140959,Tag,20
1239,140959,Others,20
1240,140959,Others,20
1241,140959,Tag,20
1242,140959,Tag,20
1243,140851,Others,20
1244,141000,Tag,20
1245,141000,Others,20
1246,141000,Others,20
1247,141000,Tag,20
1248,141000,Tag,20
1249,141000,Tag,20
1250,141000,Tag,20
1251,141000,Tag,20
1252,141000,Others,20
1253,141000,Tag,20
1254,141000,Tag,20
1255,141000,SITS,20
1256,141000,Others,20
1257,141000,Others,20
